Overview|Übersicht
One cue leads to the next|Ein Impuls führt zum nächsten
One cue travels, objects respond in sequence.|Ein Impuls wandert, die Objekte reagieren nacheinander.
The viewer knows what to follow.|Der Blick weiss, wohin er folgen soll.
Question: where does your eye go first, second, and third?|Frage: Wohin schaust du zuerst, danach und zuletzt?
Motion has personality.|Bewegung hat Persönlichkeit.
The same object can feel heavy, quick, elegant, funny, technical, or luxurious. Personality comes from timing, spacing, rhythm, materials, and the way actions settle.|Dasselbe Objekt kann schwer, schnell, elegant oder verspielt wirken. Timing, Abstände, Rhythmus, Materialien und Ausklingen geben ihm Charakter.
Movement can feel like a brand.|Bewegung kann eine Marke ausdrücken.
Energy can be designed.|Energie lässt sich gestalten.
Watch for rhythm, sharp transitions, contrast, and how motion creates a confident sport feeling before the logo matters.|Achte auf Rhythmus, prägnante Übergänge und Kontraste: Wie entsteht sportliche Energie ohne Logo?
With the sound low, follow the attention driver. What makes the movement feel athletic, even without the logo?|Folge bei leisem Ton der Blickführung. Was lässt die Bewegung auch ohne Logo sportlich wirken?
Watch reference film|Referenzfilm ansehen
What to notice|Worauf du achten kannst
Reveal observations|Beobachtungen anzeigen
Short, sharp movements make the sequence feel athletic.|Kurze, prägnante Bewegungen wirken sportlich.
High contrast and direction changes keep the eye active.|Kontraste und Richtungswechsel halten den Blick aktiv.
The rhythm accelerates toward a confident payoff.|Der Rhythmus beschleunigt bis zum markanten Höhepunkt.
Even without the logo, the motion still feels like sport energy.|Auch ohne Logo vermittelt die Bewegung sportliche Energie.
Use strong silhouettes, fast spacing changes, contrast, and one clear final accent.|Nutze klare Silhouetten, schnelle Abstandswechsel, Kontrast und einen deutlichen Schlussakzent.
Reveal needs preparation.|Ein Höhepunkt braucht Vorbereitung.
Watch for compression, expansion, material mood, and the moment where the visual system feels resolved.|Achte auf Verdichtung, Ausdehnung, Materialwirkung und den Moment, in dem alles zusammenfindet.
Where is the anticipation? Where is the payoff?|Wo liegt die Vorbereitung? Wo der Höhepunkt?
Compression creates anticipation before expansion.|Verdichtung erzeugt Erwartung vor der Ausdehnung.
Material, light, and shape make the motion feel premium.|Material, Licht und Form lassen die Bewegung hochwertig wirken.
The pace slows when the viewer needs to understand the image.|Das Tempo sinkt, wenn das Bild Zeit zum Verstehen braucht.
The payoff feels resolved because the motion settles.|Das Ausklingen gibt dem Höhepunkt einen klaren Abschluss.
Animate scale, spacing, and settle. Let materials and lighting support the mood.|Animiere Grösse, Abstände und Ausklingen. Unterstütze die Stimmung mit Material und Licht.
Motion can explain an idea.|Bewegung kann Ideen erklären.
Watch how visual metaphors connect scenes. The motion keeps the viewer oriented even when the graphics change.|Achte darauf, wie Bildideen Szenen verbinden. Bewegung erhält die Orientierung, auch wenn die Grafik wechselt.
What idea is being explained through movement?|Welche Idee erklärt die Bewegung?
Repeated directions help scenes feel related.|Wiederholte Richtungen verbinden Szenen.
Transformations show cause and effect.|Verwandlungen zeigen Ursache und Wirkung.
Visual metaphors become clearer when motion links them.|Bewegung macht Zusammenhänge zwischen Bildideen verständlich.
The viewer follows the idea, not just the objects.|Der Blick folgt der Idee, nicht nur den Objekten.
Use matching paths, repeated timing, and object transformations to connect shots.|Verbinde Einstellungen durch ähnliche Wege, wiederholtes Timing und Objektverwandlungen.
Satisfying motion has a clear chain.|Stimmige Bewegung folgt einer klaren Kette.
Watch for trigger, reaction, transfer, resolution, and reset. The loop feels good because the return is motivated.|Achte auf Auslöser, Reaktion, Weitergabe, Auflösung und Rückkehr. Eine nachvollziehbare Rückkehr macht den Loop stimmig.
Can you find the exact moment the loop restarts?|Erkennst du den genauen Neustart des Loops?
One clear trigger starts the chain.|Ein klarer Impuls startet die Kette.
Each reaction has visible cause and effect.|Jede Reaktion hat eine sichtbare Ursache.
The reset is hidden inside the motion logic.|Die Rückkehr ist in den Bewegungsablauf eingebaut.
The loop feels complete because the final state invites the first action again.|Der Endzustand bereitet die erste Aktion erneut vor.
Build one animated chain first. Then make the last frame lead naturally into frame one.|Animiere zuerst eine Kette. Lass danach das letzte Bild natürlich ins erste übergehen.
Core Motion Principles|Zentrale Bewegungsprinzipien
Now we turn motion into craft: timing, spacing, easing, anticipation, overshoot, rhythm, and the final settle.|Jetzt gestalten wir Bewegung bewusst: Timing, Abstände, Easing, Vorbereitung, Überschwingen, Rhythmus und Ausklingen.
Good motion is built, not guessed.|Gute Bewegung entsteht durch bewusste Gestaltung.
Timing & Spacing|Timing & Abstände
Mass & Weight|Masse & Gewicht
Anticipation|Vorbereitung
Arcs|Bewegungsbögen
Squash & Stretch|Stauchen & Strecken
Follow Through & Overlap|Nachschwingen & Überlagerung
Overshoot & settle|Überschwingen & Ausklingen
Secondary Animation|Sekundäre Bewegung
Appeal|Wirkung
Timing and spacing create rhythm.|Timing und Abstände erzeugen Rhythmus.
Timing is how long a move takes. Spacing is the distance between successive frames. Together they shape rhythm.|Timing bestimmt die Dauer. Spacing beschreibt die Abstände zwischen aufeinanderfolgenden Bildern. Gemeinsam erzeugen sie Rhythmus.
SHORT TIMING|KURZE DAUER
Fast decision|Schnelle Entscheidung
Feels sharp, urgent, confident, or surprising.|Wirkt prägnant, dringend, selbstbewusst oder überraschend.
LONG TIMING|LANGE DAUER
Slow arrival|Langsame Ankunft
Feels deliberate, heavy, elegant, or important.|Wirkt bewusst, schwer, elegant oder bedeutend.
Try it|Ausprobieren
Adjust duration|Dauer anpassen
Duration|Dauer
Play|Abspielen
Change duration. Dots mark equal time intervals; their gaps show spacing.|Ändere die Dauer. Punkte markieren gleiche Zeitintervalle; ihre Abstände zeigen das Spacing.
Ask: Should this action feel instant, deliberate, or earned?|Frage: Soll die Aktion unmittelbar, bewusst oder vorbereitet wirken?
Easing decides how speed changes.|Easing bestimmt den Geschwindigkeitsverlauf.
The path can stay identical while acceleration and deceleration change the feeling.|Der Weg bleibt gleich. Beschleunigen und Abbremsen verändern die Wirkung.
Try a prediction|Was vermutest du?
Which movement changes speed?|Welche Bewegung ändert ihre Geschwindigkeit?
Left example|Linkes Beispiel
Right example|Rechtes Beispiel
Show explanation|Erklärung anzeigen
No change in speed|Konstante Geschwindigkeit
Clear and technical, but often lifeless for character or product motion.|Klar und technisch, bei Figuren und Produkten oft leblos.
EASED|MIT EASING
Speed has shape|Geschwindigkeit bekommt Form
The move accelerates, slows down, and feels more physical.|Die Bewegung beschleunigt, bremst ab und wirkt körperlicher.
Adjust easing|Easing anpassen
Keep duration fixed. Change how the object gains and loses speed.|Die Dauer bleibt gleich. Ändere, wie das Objekt beschleunigt und abbremst.
Ask: Should the movement feel mechanical, soft or decisive?|Frage: Soll die Bewegung mechanisch, weich oder entschlossen wirken?
WEIGHT|GEWICHT
Weight appears through response.|Reaktionen machen Gewicht sichtbar.
Acceleration, impact, bounce and settling tell the viewer how much mass an object has.|Beschleunigung, Aufprall, Rückprall und Ausklingen vermitteln Masse.
Which object feels heavier?|Welches Objekt wirkt schwerer?
LIGHT WEIGHT|LEICHT
Object feels light weight|Das Objekt wirkt leicht
Fast impacts and high bounces reduce sense of weight.|Schnelle Aufpralle und hohe Sprünge lassen das Objekt leicht wirken.
HEAVY WEIGHT|SCHWER
Object feels heavy|Das Objekt wirkt schwer
Fall time, impact spacing and settling suggest weight.|Fallzeit, Aufprallabstände und Ausklingen vermitteln Gewicht.
Adjust bounce height|Sprunghöhe anpassen
Bounce height|Sprunghöhe
Compare a restrained impact with a lively rebound.|Vergleiche einen gedämpften Aufprall mit einem lebhaften Rückprall.
Ask: Which timing decisions make one object feel heavier?|Frage: Welches Timing lässt ein Objekt schwerer wirken?
Anticipation prepares the viewer.|Vorbereitung erzeugt Erwartung.
A small pullback or compression prepares the viewer for the main action.|Ein kurzes Ausholen oder Stauchen kündigt die Hauptaktion an.
NO ANTICIPATION|OHNE VORBEREITUNG
Action appears suddenly|Die Aktion beginnt plötzlich
The viewer reacts after the movement has already started.|Die Bewegung beginnt, bevor der Blick bereit ist.
WITH ANTICIPATION|MIT VORBEREITUNG
Action feels motivated|Die Aktion wirkt nachvollziehbar
A small pullback or compression tells the eye what is coming.|Kurzes Ausholen oder Stauchen zeigt, was als Nächstes kommt.
Adjust pullback|Ausholen anpassen
Pullback|Ausholen
Prepare the main action with a small move in the opposite direction.|Bereite die Hauptaktion mit einer kleinen Gegenbewegung vor.
Ask: what tiny movement can prepare the big one?|Frage: Welche kleine Bewegung bereitet die grosse vor?
ARCS|BEWEGUNGSBÖGEN
Arcs make motion feel intentional.|Bögen geben Bewegung Richtung.
Curved paths turn simple translation into a fluid gesture shaped by joints or forces.|Kurven machen aus einer Verschiebung eine fliessende Geste, geprägt durch Gelenke oder Kräfte.
NO ARCS|OHNE BÖGEN
Path feels mechanical|Der Weg wirkt mechanisch
A rigid straight line can make the action feel diagrammatic.|Eine starre Gerade lässt die Aktion schematisch wirken.
WITH ARCS|MIT BÖGEN
Path feels gestural|Der Weg wirkt fliessend
A controlled arc reveals swing, direction and physical intent.|Ein kontrollierter Bogen zeigt Schwung, Richtung und Kräfte.
Shape the motion path|Bewegungspfad gestalten
Motion path|Bewegungspfad
Reset path|Pfad zurücksetzen
Drag the handles sideways or up and down. Use arrow keys when focused.|Ziehe die Griffe seitlich oder auf und ab. Bei Tastaturfokus funktionieren auch die Pfeiltasten.
Ask: What kind of force or pivot should shape the path?|Frage: Welche Kraft oder welcher Drehpunkt bestimmt den Weg?
SQUASH and STRETCH|STAUCHEN UND STRECKEN
Squash and stretch reveal force.|Stauchen und Strecken zeigen Kraft.
Temporary deformation makes acceleration, flexibility and impact visible.|Kurzzeitige Verformung zeigt Beschleunigung, Flexibilität und Aufprall.
Which example makes deformation visible?|Welches Beispiel zeigt Verformung?
NO SQUASH & STRETCH|OHNE STAUCHEN & STRECKEN
Force stays invisible|Kraft bleibt unsichtbar
Rigid geometry hides compression and acceleration.|Starre Geometrie verbirgt Stauchung und Beschleunigung.
WITH SQUASH & STRETCH|MIT STAUCHEN & STRECKEN
Force becomes readable|Kraft wird sichtbar
Opposing scale changes show impact while preserving volume.|Gegenläufige Skalierung zeigt den Aufprall und erhält das Volumen.
Adjust deformation|Verformung anpassen
Deformation|Verformung
Compress on impact and stretch in flight. The diagram preserves area.|Beim Aufprall stauchen, im Flug strecken. Die Fläche bleibt hier gleich.
Ask: Where should the object compress or elongate?|Frage: Wo sollte sich das Objekt stauchen oder strecken?
FOLLOW-THROUGH|NACHSCHWINGEN
Follow-through and overlap.|Nachschwingen und Überlagerung.
Different parts of a system respond and settle at different moments.|Verschiedene Teile reagieren und kommen zu unterschiedlichen Zeiten zur Ruhe.
NO FOLLOW-THROUGH|OHNE NACHSCHWINGEN
Everything stops at once|Alles stoppt gleichzeitig
A simultaneous stop removes momentum and flexibility.|Ein gleichzeitiger Stopp verbirgt Schwung und Flexibilität.
WITH FOLLOW-THROUGH|MIT NACHSCHWINGEN
Motion settles in layers|Bewegung klingt gestaffelt aus
Delayed responses show what leads, follows and settles last.|Verzögerte Reaktionen zeigen, was führt, folgt und zuletzt ausklingt.
Adjust follow delay|Verzögerung anpassen
Follow delay|Verzögerung
Let the second part follow and settle after the leader.|Lass den zweiten Teil folgen und später zur Ruhe kommen.
Ask: What should continue moving after the main action ends?|Frage: Was bewegt sich nach der Hauptaktion weiter?
Overshoot and Settle|Überschwingen und Ausklingen
Overshoot gives motion a satisfying settle.|Überschwingen lässt Bewegung stimmig ausklingen.
The object passes its target, then returns. This is one way to exaggerate an action.|Das Objekt geht über sein Ziel hinaus und kehrt zurück. So lässt sich eine Aktion überzeichnen.
HARD STOP|HARTER STOPP
Abrupt ending|Abruptes Ende
Useful for precise UI motion, but can feel stiff.|Nützlich für präzise UI-Bewegungen, kann aber steif wirken.
OVER + SETTLE|ÜBERSCHWINGEN + AUSKLINGEN
Satisfying ending|Stimmiger Abschluss
The object passes the target slightly, then resolves.|Das Objekt überschreitet das Ziel leicht und kommt zur Ruhe.
Adjust overshoot|Überschwingen anpassen
Overshoot|Überschwingen
Pass the destination, then settle back onto it.|Bewege dich über das Ziel hinaus und kehre sanft zurück.
Ask: how much overshoot suits this movement?|Frage: Wie viel Überschwingen passt zur Bewegung?
SECONDARY MOTION|SEKUNDÄRE BEWEGUNG
Secondary motion supports the action.|Sekundäre Bewegung unterstützt die Aktion.
A restrained supporting response can connect cause and effect without stealing focus.|Eine zurückhaltende Reaktion verbindet Ursache und Wirkung, ohne abzulenken.
COMPETING MOTION|KONKURRIERENDE BEWEGUNG
Everything competes|Alles konkurriert
Supporting reactions are as strong as the main event.|Nebenreaktionen sind genauso stark wie die Hauptaktion.
SUPPORTING MOTION|UNTERSTÜTZENDE BEWEGUNG
Hierarchy stays clear|Die Hierarchie bleibt klar
Smaller delayed reactions reinforce the primary action.|Kleine, verzögerte Reaktionen verstärken die Hauptaktion.
Adjust supporting motion|Nebenbewegung anpassen
Supporting motion|Nebenbewegung
Keep the supporting reaction smaller than the main action.|Halte die Nebenbewegung kleiner als die Hauptaktion.
Ask: Does the supporting motion strengthen or distract?|Frage: Verstärkt die Nebenbewegung die Aktion oder lenkt sie ab?
Make the idea easy to read.|Mach die Idee verständlich.
Clear silhouettes, deliberate spacing, and a strong focal point make a design inviting. Appeal can be playful, precise, or quiet.|Klare Silhouetten, bewusste Abstände und ein deutlicher Blickfang machen ein Design ansprechend – verspielt, präzise oder ruhig.
Adjust visual hierarchy|Visuelle Hierarchie anpassen
Visual hierarchy|Visuelle Hierarchie
Give one object priority through spacing, scale, and contrast.|Gib einem Objekt Vorrang durch Abstand, Grösse und Kontrast.
Can you tell where to look before anything moves?|Ist schon vor der Bewegung klar, wohin du schauen sollst?
Interactive study|Interaktive Studie
Revisit the principles ↑|Zurück zu den Prinzipien ↑
One object.|Ein Objekt.
Different personalities.|Verschiedene Persönlichkeiten.
Change the motion. Compare it with the gray ball’s constant speed.|Ändere die Bewegung. Vergleiche sie mit der konstanten Geschwindigkeit der grauen Kugel.
Motion comparison|Bewegungsvergleich
Ease in / out|Sanft starten / stoppen
Gray:|Grau:
Always linear|Immer linear
Time|Zeit
Show motion trails|Bewegungsspuren anzeigen
Dots every 0.10 s. Close dots mean slower motion.|Punkte alle 0,10 s. Enge Abstände bedeuten langsame Bewegung.
Movement|Bewegung
Heavy|Schwer
Playful|Verspielt
Custom curve|Eigene Kurve
Slow at the start, fast in the middle, soft at the end.|Langsam am Anfang, schnell in der Mitte, sanft am Ende.
Move duration|Bewegungsdauer
Position over time|Position über Zeit
Edit curve|Kurve bearbeiten
Reset|Zurücksetzen
Edit the curve to control how the orange ball speeds up and slows down.|Bearbeite die Kurve, um Beschleunigung und Abbremsen der orangefarbenen Kugel zu steuern.
Precise curve controls|Genaue Kurveneinstellungen
Start time|Startzeit
Start position|Startposition
End time|Endzeit
End position|Endposition
Course by|Kurs von
Observe carefully. Animate intentionally.|Genau beobachten. Bewusst animieren.
The course|Der Kurs
Part 2 — Blender Foundations|Teil 2 — Blender-Grundlagen
User Interface|Benutzeroberfläche
Objects Transform & Management|Objekte transformieren & verwalten
Modeling|Modellierung
Materials|Materialien
Animations|Animationen
DAY 1 / PART 2|TAG 1 / TEIL 2
Foundations.|Grundlagen.
The tools to turn your ideas into motion.|Die Werkzeuge, um deine Ideen zu animieren.
Explore Blender|Blender entdecken
Blender — open-source 3D software ↗|Blender — freie 3D-Software ↗
Find your way around.|Finde dich zurecht.
Get comfortable with the workspace before you start building.|Lerne die Oberfläche kennen, bevor du loslegst.
Read the interface|Die Oberfläche verstehen
Choose a workspace|Arbeitsbereich wählen
Arrange your workspace|Arbeitsbereich einrichten
Identify the editors you will use most.|Lerne die wichtigsten Editoren kennen.
Windows & Editor Types|Fenster & Editortypen
Use the Viewport to work with objects, the Outliner to find them, Properties to edit settings, and the Timeline to manage time.|Bearbeite Objekte im Viewport, finde sie im Outliner, ändere Einstellungen unter Properties und steuere die Zeit in der Timeline.
Start with Layout. Explore the other workspaces when you need them.|Beginne mit Layout. Entdecke weitere Arbeitsbereiche nach Bedarf.
Start in Layout to arrange objects and review the scene.|Ordne Objekte im Arbeitsbereich Layout an und betrachte die Szene.
Use Modeling to edit object geometry.|Bearbeite Geometrie im Arbeitsbereich Modeling.
Use Sculpting to shape organic forms with brushes.|Gestalte organische Formen mit Pinseln im Arbeitsbereich Sculpting.
Unwrap a mesh into a flat map for image textures.|Wickle ein Mesh in eine flache Karte für Bildtexturen ab.
Paint colors and details directly onto a model.|Male Farben und Details direkt auf das Modell.
Build materials by connecting nodes in the Shader Editor.|Erstelle Materialien, indem du Nodes im Shader Editor verbindest.
Work with the scene, timeline, and animation keyframes together.|Arbeite gleichzeitig mit Szene, Timeline und Keyframes.
Review rendered images and animation.|Betrachte gerenderte Bilder und Animationen.
Adjust and combine rendered images with nodes.|Bearbeite und kombiniere gerenderte Bilder mit Nodes.
Generate and arrange geometry procedurally with nodes.|Erzeuge und ordne Geometrie prozedural mit Nodes.
Use Python to automate tasks and build tools.|Automatisiere Aufgaben und erstelle Werkzeuge mit Python.
Switch editors, split views, and make room for the task.|Wechsle Editoren, teile Ansichten und schaffe Platz für deine Aufgabe.
Customize|Anpassen
Change an editor type to show the tools you need.|Wechsle den Editortyp, um passende Werkzeuge anzuzeigen.
Split editors to create more views, or join them to simplify the workspace.|Teile Editoren für zusätzliche Ansichten oder verbinde sie für mehr Übersicht.
Move around your scene.|Bewege dich durch die Szene.
Orbit, pan, zoom, and focus on the objects you want to work with.|Drehe, verschiebe und zoome die Ansicht. Fokussiere die gewünschten Objekte.
Navigate the viewport|Im Viewport navigieren
Orbit, pan, zoom, and return to your selection.|Drehe, verschiebe und zoome die Ansicht. Kehre zur Auswahl zurück.
Default Scene|Standardszene
Identify the cube, camera, light, axes, and viewport controls.|Erkenne Würfel, Kamera, Licht, Achsen und Ansichtssteuerung.
Navigation Tools|Navigationswerkzeuge
Use the viewport navigation controls to change your view.|Ändere die Ansicht mit den Navigationswerkzeugen im Viewport.
with Mouse and Keyboard|Mit Maus und Tastatur
Practice orbiting, panning, and zooming with the mouse and keyboard.|Übe das Drehen, Verschieben und Zoomen mit Maus und Tastatur.
Re-focus View on Selected|Auswahl fokussieren
Frame the selected object to find it quickly.|Fokussiere das ausgewählte Objekt, um es schnell wiederzufinden.
Build a clear scene.|Schaffe eine übersichtliche Szene.
Select, transform, and organize the objects you will animate.|Wähle, transformiere und organisiere die Objekte für deine Animation.
Select and transform|Auswählen und transformieren
Manage the scene|Szene verwalten
Choose an object, then change its position, rotation, or scale.|Wähle ein Objekt und ändere Position, Drehung oder Grösse.
Object Selection|Objektauswahl
Select the object you want to work with.|Wähle das Objekt, das du bearbeiten möchtest.
Select/Deselect All|Alles auswählen / abwählen
Select or deselect all objects before applying an operation.|Wähle alle Objekte aus oder ab, bevor du eine Aktion ausführst.
Transformation Widgets|Transformationswerkzeuge
Use the transform gizmos to move, rotate, or scale an object.|Verschiebe, drehe oder skaliere das Objekt mit den Gizmos.
Object Properties|Objekteigenschaften
Use the Transform properties for precise values.|Gib genaue Werte in den Transform-Eigenschaften ein.
Add objects and keep the scene organized as it grows.|Füge Objekte hinzu und halte die wachsende Szene übersichtlich.
3D Primitives|3D-Grundformen
Add a primitive as the starting point for a new object.|Füge eine Grundform als Ausgangspunkt hinzu.
Copy / Paste / Delete Objects|Objekte kopieren / einfügen / löschen
Copy, paste, or delete objects using the demonstrated commands.|Kopiere, füge ein oder lösche Objekte mit den gezeigten Befehlen.
Shading Mode|Schattierungsmodus
Compare flat and smooth shading on the same shape.|Vergleiche flache und glatte Schattierung an derselben Form.
Surface shading|Oberflächenschattierung
Flat|Flach
Smooth|Glatt
Each face has a single normal, so the individual faces remain visible.|Jede Fläche hat eine einheitliche Normalenrichtung. Dadurch bleiben die einzelnen Flächen sichtbar.
Show normals|Normalen anzeigen
Normals at vertices: Flat keeps a separate direction for each adjoining face. Smooth shares a direction across adjoining faces. Orange arrows show the split or shared directions.|Normalen an Eckpunkten: Bei flacher Schattierung hat jede angrenzende Fläche eine eigene Richtung. Bei glatter Schattierung teilen sie eine Richtung. Orange Pfeile zeigen den Unterschied.
Renaming|Umbenennen
Give objects clear names so they are easy to find.|Vergib klare Namen, damit du Objekte schnell findest.
Parenting|Über- und Unterordnung
Parent objects to control them together.|Ordne Objekte einem übergeordneten Objekt zu, um sie gemeinsam zu steuern.
Collections|Sammlungen
Use collections to organize related objects.|Organisiere zusammengehörige Objekte in Collections.
Hide/Unhide Objects|Objekte ausblenden / einblenden
Hide objects temporarily to make the scene easier to work with.|Blende Objekte vorübergehend aus, um übersichtlicher zu arbeiten.
Duplication|Duplizieren
Compare an independent duplicate with a linked duplicate.|Vergleiche eine unabhängige mit einer verknüpften Kopie.
Shape your objects.|Forme deine Objekte.
Understand the mesh, then use a few tools to change its form.|Verstehe das Mesh und verändere seine Form mit wenigen Werkzeugen.
Understand the mesh|Das Mesh verstehen
Select and remove geometry|Geometrie auswählen und entfernen
Build and refine forms|Formen aufbauen und verfeinern
Work with vertices, edges, and faces in Edit Mode.|Arbeite im Edit Mode mit Eckpunkten, Kanten und Flächen.
What is a mesh?|Was ist ein Mesh?
Vertices are points. Edges connect them. Faces form the surfaces.|Vertices sind Eckpunkte. Edges verbinden sie. Faces bilden die Oberflächen.
Edit-Mode|Bearbeitungsmodus
Press Tab to switch between Object Mode and Edit Mode.|Wechsle mit Tab zwischen Object Mode und Edit Mode.
Select Elements|Elemente auswählen
In Edit Mode, use the number-row keys: 1 for vertices, 2 for edges, and 3 for faces.|Nutze im Edit Mode die obere Zahlenreihe: 1 für Eckpunkte, 2 für Kanten, 3 für Flächen.
Choose connected elements and control what you delete.|Wähle verbundene Elemente und bestimme, was gelöscht wird.
Edge Loop / Edge Ring Selection|Kantenschleife / Kantenring auswählen
Select connected edges as a loop or ring.|Wähle verbundene Kanten als Schleife oder Ring.
Face Loop Selection|Flächenschleife auswählen
Select a connected loop of faces.|Wähle eine zusammenhängende Flächenschleife.
Shortest Path Selection|Kürzesten Pfad auswählen
Select a path between elements using Ctrl-click.|Wähle mit Strg-Klick einen Pfad zwischen Elementen.
Remove Elements|Elemente entfernen
Choose which geometry to delete.|Wähle, welche Geometrie gelöscht wird.
Compare the results of deleting vertices, edges, and faces.|Vergleiche das Löschen von Eckpunkten, Kanten und Flächen.
Use the demonstrations as a reference while you model.|Nutze die Beispiele als Hilfe beim Modellieren.
Extrude|Extrudieren
Extrude a selected face to extend the form.|Extrudiere eine ausgewählte Fläche, um die Form zu erweitern.
Loop Cut|Schleifenschnitt
Add an edge loop, then position it.|Füge eine Kantenschleife hinzu und positioniere sie.
Inset|Fläche einrücken
Inset a face to create an inner border.|Rücke eine Fläche ein, um einen inneren Rand zu erzeugen.
Bevel|Abschrägen
Bevel edges to soften corners.|Schräge Kanten ab, um Ecken weicher zu machen.
Knife|Messer
Cut new edges into the mesh.|Schneide neue Kanten in das Mesh.
Create New Faces from Vertices|Flächen aus Eckpunkten erstellen
Select boundary vertices and press F to create a face.|Wähle Randpunkte und drücke F, um eine Fläche zu erstellen.
Merge Vertices|Eckpunkte verschmelzen
Merge selected vertices into one.|Verschmelze ausgewählte Eckpunkte zu einem Punkt.
Connect Vertices|Eckpunkte verbinden
Connect selected vertices with an edge.|Verbinde ausgewählte Eckpunkte mit einer Kante.
Subdivision|Unterteilen
Subdivide the mesh to add geometry.|Unterteile das Mesh, um Geometrie hinzuzufügen.
Give surfaces character.|Gib Oberflächen Charakter.
Use light and material properties to make form readable.|Mache Formen durch Licht und Materialeigenschaften verständlich.
Understand surface response|Oberflächenwirkung verstehen
Work with materials|Mit Materialien arbeiten
Compare how surfaces reflect and scatter light.|Vergleiche, wie Oberflächen Licht reflektieren und streuen.
What is shading?|Was ist Schattierung?
